Cycle,PS_Peak1,PS_Peak2,PS_Peak3,PS_Peak1/Peak2,PS_Peak2/Peak3,A0_2,A2_5,A0_2/A2_5
Cycle_1,1345.0247536607442,1207.4313535181004,962.5300263346179,1.2364385434129672,1.2641454812814839,6.3814152639620572e-08,2.7673867493910349e-08,3.3966807859950838e-09
Cycle_2,2144.4439419567125,2038.224623168305,1074.0719892261659,1.0750473365358957,1.7756790292862956,-1.7176332536467544e-08,-2.4949275327486508e-08,-2.0015593555951707e-08
Cycle_3,2094.6095699124803,1744.5489386603313,1176.6020922763962,1.2116876866819026,1.5463877894281188,-1.9382996639514833e-08,-2.5806887910489954e-08,-2.1735478537605984e-08
Cycle_4,1092.7569749484096,762.32523184951356,669.71750212495203,1.6354361423584192,1.043217532056764,1.7665577728386632e-08,4.9758741292005214e-08,1.1846757449948013e-08
Cycle_5,1268.4595675675578,972.83118448459732,758.12595909103902,1.3260568192764826,1.2980865310709031,4.4204466931942924e-08,4.9671775010075961e-08,2.2157979941991007e-08
Cycle_6,4164.1259046407031,2586.409455839751,1871.4313461312861,1.5856468248734406,1.4740042645881564,1.3789472839492127e-28,-2.1631916359776501e-08,1.00974195868e-19
Cycle_7,2587.1190222170003,1570.3699209724352,1339.2361363840666,1.6908163976634281,1.165640346310874,-9.0310700144299615e-11,-2.1625433056947394e-08,2.1514045906025893e-20
Cycle_8,5429.2468243275944,3267.9189699995991,2874.6480528862758,1.486707804448167,1.0507422908141619,4.7025353815383818e-28,-2.1599332510807094e-08,2.8937584217787706e-09
Cycle_9,1273.9272887706868,1179.3679202190799,1117.5229366532717,1.1858903810765624,1.0801232656396298,1.4117697343821358e-27,2.8059792195267515e-08,2.253572288169491e-08
Cycle_10,1601.050422109073,1357.3721901744016,1164.9608235361802,1.2444264616883798,1.1784433475894533,-2.4199952645703744e-08,-2.9021301747916109e-08,-2.6109143323009051e-08
Cycle_11,702.02761112078724,763.54438711761372,502.46852016390972,1.125485002378686,1.6256334174059046,-2.7763554479075839e-08,-2.6795109120524905e-08,-2.2208733463324853e-08
Cycle_12,1873.6897359744235,1701.5044139704332,1097.6056174857708,1.1285173411570215,1.6764171160015271,2.0654040704167183e-10,2.5684162267833309e-08,5.4875792093525184e-09
Cycle_13,1136.3702378667019,1124.3610236776046,619.87152067362229,1.1609127092719242,1.8486121174187102,-2.0115453283590883e-08,-3.0575127168771432e-08,-2.2602150220423309e-08
Cycle_14,1641.7282180165835,1619.674758225357,1161.1085276001045,1.0715528717108049,1.4254298256761957,-2.4139017005970892e-08,-2.8955659411621516e-08,-2.3791150371846064e-08
Cycle_15,1615.2007926487777,1445.2014041551652,844.51431191006191,1.149993962618405,1.7136611107823574,-1.3645574493194325e-09,-2.476175154815492e-08,-2.1068827490857544e-08
Cycle_16,1080.6805457444641,1012.7392334943279,823.43332223342782,1.1874443544062605,1.2301499510646987,2.8100440039906305e-28,-2.1371878757518957e-08,2.8937584215865954e-09
Cycle_17,3440.0108544222185,1825.4181223020014,1409.9933147653585,1.6989945612762125,1.327752084516602,1.8146296971801384e-28,-2.109727437401222e-08,2.8937584214482333e-09
Cycle_18,3859.9213466241108,2442.1486109161151,1802.6120634850029,1.4501346978412653,1.397123697511965,1.3714311688221589e-28,-2.1094911188048093e-08,6.9907113889846532e-20
Cycle_19,1924.0874636587146,1339.5810240425553,1039.8138505603531,1.5354339136093591,1.3127160170295389,6.5250874933101764e-08,4.181543634042102e-08,2.2970780738481199e-08
Cycle_20,3563.5427808776039,1625.4308141618194,1519.637214157174,1.779720961821212,1.0339896356837897,-2.3854681481644952e-08,-2.8925791724471756e-08,-2.3211778778721343e-08
Cycle_21,1807.4329282935093,1884.3348546450716,970.6317616314916,1.0558311715279902,2.0070782947189159,-1.3528625792743851e-09,-2.4728686550598403e-08,-1.6968419108646062e-08
Cycle_22,1077.9883732454964,851.3787771808469,647.15432497083157,1.3470157912684506,1.4149111853663325,4.6573888366442879e-08,4.9835176849146552e-08,7.4124955196583108e-09
Cycle_23,630.00755046381221,756.37981864899405,612.20812064415554,1.0847538375939139,1.3170736256377895,-2.0155614413236638e-08,-2.6032978439918613e-08,4.9788315886609324e-08
