Cycle,PS_Peak1,PS_Peak2,PS_Peak3,PS_Peak1/Peak2,PS_Peak2/Peak3,A0_2,A2_5,A0_2/A2_5
Cycle_1,765.60115005226635,753.99753812164636,697.76900066669725,1.0101497153101175,1.0937009933495028,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.1991591924939916e-08
Cycle_2,590.01040256526642,544.66043545964635,554.18239701680352,1.0796651898101175,0.95650214621950269,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.1991591924805284e-08
Cycle_3,666.44818480826643,620.60348466064636,574.13561276380358,1.0686224296001174,1.0501174151295027,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.1991591924981989e-08
Cycle_4,568.80424183626633,543.61412445364635,542.54641586180355,1.0453412410101175,0.9757441825995028,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.1991591924973572e-08
Cycle_5,732.81861137026635,689.13628987764628,546.00151772580352,1.0570550898601174,1.2266231607395028,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.1991591924939916e-08
Cycle_6,936.1810927742664,916.15366798899993,548.42292753880361,1.0523439789101174,1.6406061161882355,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.1991591924704308e-08
Cycle_7,589.17833658826635,532.6435970226463,438.28130202680353,1.1013286983701176,1.1883121096695028,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.199159192498409e-08
Cycle_8,770.86908242926643,746.12980221964631,778.80846317469718,1.0271777715001176,0.96134726751950272,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.1991591924939916e-08
Cycle_9,867.23679876526637,871.86727818464635,694.58585730369725,0.9880768851101176,1.2715088100495027,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.1991591924704308e-08
Cycle_10,746.69874736326642,509.58771108264636,495.81902242980357,1.4867521225613243,1.0039138650595028,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.199159192498374e-08
Cycle_11,1535.3417996947662,1220.897094812,952.29837179069716,1.2195338868101175,1.2400005166195027,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.1991591924984792e-08
Cycle_12,911.37963275826633,952.53553455099996,679.50745621269721,0.98564696039011745,1.4513636098682354,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.1991591924981989e-08
Cycle_13,804.02131996626633,629.6753033976463,517.37512123880356,1.3111008819013243,1.1846645458595026,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.1991591924967964e-08
Cycle_14,821.79116005326637,458.88104215664634,469.24388097080356,1.7850828146613242,0.95821361725950283,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.1991591924933255e-08
Cycle_15,1192.9256007847662,854.61066512164632,622.02590500380359,1.3492648869213242,1.4126645861282354,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.1991591924984792e-08
Cycle_16,946.33989129026634,731.28744156064636,602.10812393080357,1.3267023910813243,1.1780271444195027,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.1991591924847354e-08
Cycle_17,2678.3117398947661,2382.3787302720002,1670.2108107986971,1.0938350673501176,1.4571228191582355,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.1991591924973572e-08
Cycle_18,633.20886583426636,545.94609200164632,513.24698469280349,1.1508974914201175,1.0372353616295027,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.199159192486629e-08
Cycle_19,896.74745031326643,840.8279958606463,782.79012710669724,1.0571622210701175,1.0787560116195027,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.1991591924975326e-08
Cycle_20,1071.5483363302665,962.20320153499995,851.22554693669724,1.1410216984501176,1.0888912107395028,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.1991591924879611e-08
Cycle_21,1028.3847162702664,1058.586683602,720.18541521869724,0.99507655969011743,1.5186697086982355,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.1991591924899596e-08
Cycle_22,750.55821678726636,717.79340651164637,598.26061054080355,1.0396346816401174,1.1639200048095026,7.0822179046250009e-29,-2.2470656925061245e-08,7.0822179046250006e-20
Cycle_23,864.96976705126633,712.95972677364637,466.47857889980355,1.1982795869701175,1.5675840529982354,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.199159192488382e-08
Cycle_24,827.99431839126635,667.14948954364627,499.05697445880355,1.2770882595013242,1.3819591666782356,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.1991591924914673e-08
Cycle_25,777.91313346026641,749.66453632964635,556.73841372880349,1.0313940647301174,1.3885950127982356,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.1991591924899946e-08
Cycle_26,642.2506278902664,619.80161916464635,563.2390590688035,1.0333070565901175,1.0695521306195028,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.1991591924917476e-08
Cycle_27,737.38491579226638,657.58811912764634,421.95677699980354,1.1123983700501174,1.5984421050182356,2.8784657919425002e-28,-2.2470656925061245e-08,2.8784657919425e-19
Cycle_28,640.6831050142664,559.86584419664632,489.46898010780353,1.1361321639101176,1.1159598367595027,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.1991591924967262e-08
Cycle_29,843.98504746826643,846.83413352964635,547.14291732580352,0.99039652341011752,1.5832098003982356,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.1991591924967964e-08
Cycle_30,1968.7165681947661,1573.9567670619999,807.71025557369717,1.2161718316001175,2.0006355000482352,-2.6741421102389928e-08,-2.2470656925061245e-08,-2.1991591924981989e-08
