Cycle,PS_Peak1,PS_Peak2,PS_Peak3,PS_Peak1/Peak2,PS_Peak2/Peak3,A0_2,A2_5,A0_2/A2_5
Cycle_1,1042.7195353549998,743.82839474855348,662.66927488281749,1.3988279900419245,1.0945344101643666,-1.919744045474252e-08,-1.7995666922565102e-08,-1.6527025443859251e-08
Cycle_2,1142.3270877049999,875.93733335155355,800.51604860781742,1.3044248751219245,1.0766710676843665,-1.919744045474252e-08,-1.7995666922565102e-08,-1.6527025443848031e-08
Cycle_3,1158.0442972149999,874.43269789855344,795.49314676181746,1.3238556516219244,1.0810641432643664,-1.919744045474252e-08,-1.7995666922565102e-08,-1.6527025443856446e-08
Cycle_4,736.81443478299991,678.33903201355349,512.47324857581748,1.0987457614532257,1.2593886554343665,-1.919744045474252e-08,-1.7995666922565102e-08,-1.652702544378913e-08
Cycle_5,920.56780425599982,648.03499131155354,473.9383669998175,1.4170994477719245,1.2914564928943666,-1.919744045474252e-08,-1.7995666922565102e-08,-1.6527025443821386e-08
Cycle_6,861.99816909799983,614.85658599855344,474.79553699381745,1.3996958858619244,1.2280613051043665,-1.919744045474252e-08,-1.7995666922565102e-08,-1.6527025443832957e-08
Cycle_7,666.92453012399983,627.59518871655348,453.70047824679693,1.0780180640232258,1.3014924867243665,-1.919744045474252e-08,-1.7995666922565102e-08,-1.6527025443758276e-08
Cycle_8,1186.5860824449999,1088.9625062275534,669.40518751181742,1.0947625706132256,1.5609377556492314,-1.919744045474252e-08,-1.7995666922565102e-08,-1.6527025443856446e-08
Cycle_9,1334.5631355649998,1064.7505422775534,1041.8282229084136,1.2541491294119245,1.0883488223543665,-1.919744045474252e-08,-1.7995666922565102e-08,-1.6527025443632058e-08
Cycle_10,1258.3761928649999,915.15434773955349,774.85752438881741,1.3723716240919246,1.1554631281043666,-1.919744045474252e-08,-1.7995666922565102e-08,-1.6527025443758276e-08
Cycle_11,1233.7826890949998,941.7525161345535,745.36248232881746,1.3096994765919245,1.2294072982343665,-1.919744045474252e-08,-1.7995666922565102e-08,-1.6527025443814372e-08
Cycle_12,1278.9414301549998,1022.5001378675535,777.91244389781741,1.2519326168619245,1.2786106658643666,-1.919744045474252e-08,-1.7995666922565102e-08,-1.6527025443814372e-08
Cycle_13,1002.1781905649998,923.40617769755352,556.79901844481742,1.0927607584932257,1.5718084336192315,-1.919744045474252e-08,-1.7995666922565102e-08,-1.6527025443721814e-08
Cycle_14,970.69171194499995,917.47021523155354,654.66179946581747,1.0665871725832257,1.3474829477643664,-1.919744045474252e-08,-1.7995666922565102e-08,-1.6527025443814372e-08
Cycle_15,1315.3828711849999,1084.9874761275535,790.02576375481749,1.2142748377319246,1.3338721013543664,-1.919744045474252e-08,-1.7995666922565102e-08,-1.6527025443814372e-08
Cycle_16,1405.9084289849998,1159.1860679375534,962.58369754641353,1.2142109253019244,1.2755889533243665,2.0860988382490001e-28,-1.7995666922565102e-08,2.086098838249e-19
Cycle_17,1313.9731984149998,1049.2004954675533,757.22926357181746,1.2532440879419244,1.3425912759343666,-1.919744045474252e-08,-1.7995666922565102e-08,-1.6527025443814372e-08
Cycle_18,1146.8329007849998,962.17062093255345,651.0661362098175,1.1956589564919244,1.4231981478392315,-1.919744045474252e-08,-1.7995666922565102e-08,-1.652702544378913e-08
Cycle_19,1027.5768903549999,713.90977312555344,564.10756070781747,1.4347153856219246,1.2145774801943665,-1.919744045474252e-08,-1.7995666922565102e-08,-1.6527025443859251e-08
Cycle_20,2191.1395728672333,1939.70718547,1728.3346005184137,1.1215790411632256,1.1535711552243664,3.5446150007890003e-28,-1.7995666922565102e-08,3.544615000789e-19
Cycle_21,2113.9138465172332,1885.9947992899999,1043.1991768584137,1.1128065492332258,1.8558719897092315,-1.919744045474252e-08,-1.7995666922565102e-08,-1.6527025443814372e-08
Cycle_22,1862.2641853072334,1307.8710388975535,1080.7048062784136,1.3815409680419246,1.2763671255843665,8.5196977763899991e-29,-1.7995666922565102e-08,8.5196977763900018e-20
